"","Classes","Porcentagem"
"1","22.942 <- C < 39.987",24.81
"2","39.987 <- C < 57.033",18.11
"3","57.033 <- C < 74.078",16.84
"4","74.078 <- C < 91.123",21.01
"5","91.123 <- C < 108.169",6.93
"6","108.169 <- C < 125.214",4.47
"7","125.214 <- C < 142.259",3.16
"8","142.259 <- C < 159.304",3.8
"9","159.304 < C ",0.870000000000005
