X	Y
631.260	9106.390
631.150	9106.030
631.150	9105.770
631.440	9105.600
631.720	9105.560
631.960	9105.510
632.110	9105.320
632.110	9105.080
631.950	9104.550
631.810	9104.140
631.660	9103.830
631.620	9103.620
631.740	9103.330
631.810	9103.060
631.770	9102.750
631.590	9102.470
631.510	9102.300
631.580	9102.110
631.770	9101.910
632.290	9101.450
632.630	9101.160
633.010	9100.740
633.230	9100.450
633.300	9100.170
633.350	9100.030
633.420	9099.780
633.590	9099.310
633.740	9098.470
633.760	9098.000
633.770	9097.350
633.780	9096.820
633.670	9096.210
633.570	9095.650
633.290	9094.890
633.200	9094.460
633.210	9093.670
633.260	9093.080
633.470	9092.460
633.810	9091.720
634.310	9091.030
634.700	9090.520
635.170	9090.040
635.320	9089.660
635.300	9089.220
635.080	9088.770
634.580	9088.010
634.340	9087.330
634.270	9086.670
634.240	9086.070
634.230	9085.560
634.220	9085.190
634.580	9084.460
635.010	9083.850
635.490	9083.310
635.810	9083.020
635.930	9082.790
635.960	9082.640
635.720	9082.360
635.280	9081.810
634.800	9081.350
634.340	9080.980
633.780	9080.680
633.400	9080.450
633.240	9080.340
633.160	9080.250
633.100	9080.130
633.140	9080.000
633.170	9079.890
633.000	9079.760
632.670	9079.490
632.470	9079.290
632.330	9078.940
632.470	9078.640
632.800	9078.220
633.100	9077.730
633.360	9077.300
633.530	9076.780
633.640	9076.190
633.750	9075.330
633.660	9073.840
633.600	9073.130
633.570	9072.510
633.440	9072.070
633.140	9071.430
632.440	9070.390
632.120	9070.020
631.790	9069.460
631.570	9068.960
631.550	9068.580
631.670	9068.380
631.910	9068.180
632.050	9067.980
632.100	9067.730
631.940	9067.420
631.830	9067.270
631.780	9066.940
631.940	9066.490
632.170	9066.110
632.590	9065.680
632.850	9065.380
632.930	9065.210
632.900	9065.040
632.740	9064.780
632.410	9064.440
632.030	9064.130
631.650	9063.640
631.460	9063.260
631.340	9062.650
631.320	9061.950
631.270	9061.670
631.160	9061.380
631.100	9061.270
630.940	9060.870
630.730	9060.590
630.540	9060.430
630.010	9060.310
629.770	9060.230
629.360	9060.150
628.990	9059.660
628.930	9059.410
628.760	9058.990
628.440	9058.690
628.180	9058.660
627.710	9058.560
627.240	9058.440
626.830	9058.160
626.660	9057.580
626.630	9056.690
626.840	9055.900
626.880	9055.340
627.000	9054.240
627.140	9053.570
627.250	9053.080
627.580	9052.610
627.740	9052.280
627.780	9051.970
627.670	9051.620
627.570	9051.220
627.530	9050.820
627.430	9050.510
626.810	9050.060
626.380	9049.850
625.680	9049.560
625.360	9049.460
625.060	9049.440
624.660	9049.420
624.230	9049.370
623.680	9049.240
623.250	9049.020
622.930	9048.900
622.440	9048.770
622.050	9048.640
621.630	9048.550
621.360	9048.510
621.170	9048.380
621.020	9048.240
620.810	9048.120
620.500	9048.070
620.030	9048.010
619.560	9047.860
619.240	9047.740
618.790	9047.760
618.530	9047.650
618.290	9047.600
617.920	9047.430
617.590	9047.180
617.340	9046.880
616.740	9046.390
616.210	9046.050
615.840	9045.780
615.520	9045.390
615.360	9045.210
615.240	9045.050
615.190	9044.810
615.290	9044.500
615.500	9044.310
615.590	9044.240
615.600	9044.060
615.460	9043.790
615.130	9043.530
614.860	9043.230
614.670	9043.000
614.490	9042.870
614.290	9042.810
613.900	9042.690
613.310	9042.580
612.780	9042.620
612.590	9042.660
612.240	9042.900
611.930	9043.200
611.530	9043.540
611.300	9043.700
611.120	9043.840
610.840	9043.980
610.520	9044.060
609.960	9044.190
609.850	9044.220
609.680	9044.240
609.570	9044.220
609.300	9044.170
609.110	9044.110
608.870	9044.060
608.550	9044.020
608.210	9043.920
607.850	9043.810
607.580	9043.700
607.310	9043.590
607.110	9043.420
606.880	9043.230
606.680	9043.170
606.530	9043.140
606.470	9043.120
606.100	9042.990
605.830	9042.880
605.500	9042.650
605.160	9042.580
604.830	9042.540
604.430	9042.520
604.050	9042.440
603.480	9042.440
603.210	9042.460
602.790	9042.550
602.450	9042.720
602.230	9042.750
602.110	9042.720
601.840	9042.590
601.630	9042.470
601.360	9042.280
601.080	9042.080
600.910	9041.890
600.880	9041.510
600.770	9041.300
600.700	9041.200
600.620	9041.000
600.520	9040.830
600.320	9040.680
600.020	9040.580
599.630	9040.550
599.340	9040.650
599.110	9040.780
598.960	9040.940
598.740	9041.310
598.450	9041.650
598.220	9041.890
597.990	9042.070
597.710	9042.290
597.520	9042.370
597.250	9042.360
597.030	9042.300
596.900	9042.270
596.560	9042.190
596.240	9042.170
595.850	9042.230
595.360	9042.310
595.110	9042.420
594.890	9042.580
594.700	9042.680
594.270	9042.940
593.830	9043.070
593.580	9043.160
593.410	9043.290
593.270	9043.430
593.190	9043.650
593.080	9043.880
592.890	9044.070
592.670	9044.110
592.450	9044.130
592.230	9044.060
592.090	9043.950
591.910	9043.540
591.810	9043.330
591.600	9043.090
591.360	9043.070
591.220	9043.150
591.010	9043.270
590.820	9043.410
590.630	9043.440
590.420	9043.500
590.180	9043.520
590.030	9043.480
589.910	9043.390
589.850	9043.300
589.810	9043.160
589.800	9043.000
589.800	9042.760
589.810	9042.590
589.690	9042.440
589.480	9042.250
589.300	9042.110
589.050	9042.020
588.760	9042.040
588.370	9042.090
588.150	9042.060
587.910	9041.910
587.690	9041.740
587.500	9041.540
587.350	9041.250
587.170	9041.040
586.930	9040.950
586.650	9040.930
586.270	9040.950
585.890	9041.010
585.680	9041.140
585.510	9041.380
585.480	9041.610
585.470	9042.050
585.400	9042.230
585.310	9042.390
585.140	9042.580
584.910	9042.650
584.450	9042.630
584.060	9042.500
583.610	9042.230
583.080	9041.990
582.510	9041.680
582.060	9041.460
581.580	9041.320
581.240	9041.130
580.970	9040.900
580.600	9040.500
580.270	9040.260
579.850	9039.930
579.570	9039.740
579.280	9039.400
579.030	9039.330
578.720	9039.390
578.410	9039.510
578.120	9039.840
577.970	9040.000
577.660	9040.170
577.500	9040.240
577.330	9040.510
577.200	9040.670
576.970	9040.750
576.750	9040.800
576.440	9040.840
576.010	9040.870
575.380	9040.890
574.760	9040.910
574.330	9040.920
573.940	9040.810
573.450	9040.790
573.130	9040.760
572.840	9040.730
572.460	9040.560
572.010	9040.350
571.670	9040.200
571.380	9040.020
571.060	9039.910
570.640	9039.960
570.120	9040.090
569.550	9040.340
568.900	9040.580
568.400	9040.800
567.880	9040.840
567.410	9040.820
566.900	9040.660
566.500	9040.460
566.040	9040.420
565.630	9040.520
565.040	9040.620
564.520	9040.660
564.060	9040.560
563.870	9040.400
563.550	9039.970
563.370	9039.460
563.290	9039.140
563.080	9038.640
562.890	9038.610
562.620	9038.640
562.350	9038.700
562.050	9038.690
561.710	9038.520
561.320	9038.320
560.940	9038.200
560.680	9038.260
560.480	9038.420
560.330	9038.670
560.300	9039.030
560.230	9039.450
559.990	9039.850
559.730	9039.990
559.540	9040.060
559.350	9039.960
559.060	9039.730
558.670	9039.400
558.070	9038.990
557.510	9038.740
556.940	9038.750
556.480	9038.930
556.040	9039.160
555.660	9039.370
555.320	9039.550
554.970	9039.660
554.840	9039.700
554.750	9039.720
554.630	9039.710
554.430	9039.710
554.220	9039.680
554.000	9039.660
553.700	9039.660
553.330	9039.600
553.180	9039.610
552.860	9039.620
552.620	9039.820
552.290	9039.990
551.980	9040.070
551.710	9040.020
551.500	9039.940
551.320	9039.870
551.160	9039.730
550.940	9039.510
550.820	9039.350
550.740	9039.240
550.570	9039.130
550.450	9038.960
550.180	9038.740
550.000	9038.510
549.870	9038.350
549.760	9038.060
549.750	9037.900
549.680	9037.670
549.570	9037.420
549.500	9037.240
549.420	9037.110
549.280	9036.910
549.190	9036.710
548.960	9036.560
548.580	9036.360
548.310	9036.020
548.140	9035.870
547.940	9035.740
547.620	9035.710
547.290	9035.730
547.030	9035.710
546.700	9035.750
546.460	9035.830
546.180	9035.810
546.020	9035.630
545.750	9035.320
545.670	9035.110
545.490	9034.860
545.280	9034.640
545.040	9034.420
544.810	9034.240
544.480	9033.820
544.190	9033.390
544.020	9033.110
543.940	9032.770
543.830	9032.450
543.820	9032.180
543.670	9031.790
543.610	9031.170
543.570	9030.890
543.490	9030.470
543.360	9030.120
543.250	9029.800
543.180	9029.430
543.030	9029.040
542.930	9028.790
542.770	9028.200
542.740	9028.010
542.720	9027.890
542.770	9027.670
542.780	9027.460
542.800	9027.280
542.830	9027.000
542.890	9026.650
542.840	9026.330
542.580	9025.900
542.470	9025.720
542.300	9025.550
542.150	9025.380
542.020	9025.210
541.820	9025.050
541.600	9024.910
541.390	9024.730
541.250	9024.550
541.150	9024.480
540.980	9024.300
540.840	9024.020
540.810	9023.820
540.740	9023.530
540.750	9023.260
540.770	9022.920
540.710	9022.570
540.640	9022.360
540.470	9022.000
540.270	9021.630
540.120	9021.320
540.020	9021.110
539.980	9020.880
539.970	9020.780
539.990	9020.550
540.080	9020.310
540.100	9020.020
540.100	9019.650
540.070	9019.370
540.030	9019.080
540.020	9018.810
539.940	9018.540
539.790	9018.200
539.660	9017.880
539.400	9017.510
539.300	9017.250
539.220	9016.870
539.150	9016.600
539.090	9016.360
539.030	9016.070
539.010	9015.820
538.800	9015.380
538.680	9015.130
538.540	9014.930
538.420	9014.690
538.190	9014.480
537.810	9014.200
537.580	9014.080
537.300	9013.900
536.920	9013.640
536.590	9013.560
536.170	9013.470
535.780	9013.370
535.440	9013.190
535.250	9013.120
535.240	9013.150
535.220	9013.240
535.180	9013.330
535.110	9013.420
535.060	9013.490
535.070	9013.570
535.160	9013.550
535.210	9013.610
535.180	9013.680
535.120	9013.710
535.120	9013.800
535.180	9013.830
535.230	9013.880
535.290	9013.940
535.340	9014.030
535.380	9014.090
535.440	9014.160
535.510	9014.200
535.550	9014.160
535.600	9014.110
535.660	9014.030
535.750	9013.990
535.820	9013.960
535.880	9014.040
535.860	9014.130
535.820	9014.210
535.790	9014.270
535.770	9014.330
535.720	9014.420
535.700	9014.480
535.680	9014.550
535.740	9014.620
535.830	9014.650
535.920	9014.670
535.970	9014.690
536.030	9014.710
536.100	9014.740
536.170	9014.740
536.320	9014.820
536.390	9014.860
536.480	9014.890
536.580	9014.920
536.620	9014.970
536.650	9015.020
536.690	9015.120
536.770	9015.220
536.820	9015.260
536.890	9015.290
536.980	9015.330
537.050	9015.370
537.150	9015.370
537.180	9015.440
537.150	9015.550
537.200	9015.640
537.300	9015.650
537.410	9015.640
537.470	9015.620
537.520	9015.620
537.600	9015.630
537.660	9015.650
537.800	9015.730
537.800	9015.800
537.720	9015.870
537.620	9015.870
537.550	9015.890
537.510	9015.930
537.460	9015.960
537.480	9016.030
537.520	9016.100
537.580	9016.120
537.640	9016.130
537.710	9016.130
537.780	9016.160
537.820	9016.210
537.840	9016.260
537.850	9016.360
537.850	9016.430
537.860	9016.490
537.890	9016.580
537.910	9016.640
538.010	9016.920
538.080	9016.960
538.160	9016.920
538.240	9016.970
538.300	9017.030
538.310	9017.100
538.340	9017.190
538.340	9017.270
538.330	9017.330
538.260	9017.430
538.180	9017.400
538.130	9017.340
538.050	9017.360
538.030	9017.410
538.040	9017.480
538.060	9017.580
538.070	9017.660
538.080	9017.840
538.080	9017.950
538.110	9018.040
538.140	9018.130
538.210	9018.230
538.250	9018.280
538.330	9018.330
538.370	9018.370
538.500	9018.430
538.460	9018.490
538.350	9018.590
538.290	9018.670
538.230	9018.770
538.210	9018.810
538.200	9018.890
538.170	9019.020
538.210	9019.080
538.270	9019.090
538.310	9019.050
538.360	9018.970
538.390	9018.920
538.450	9018.840
538.500	9018.760
538.570	9018.700
538.620	9018.640
538.730	9018.570
538.750	9018.640
538.720	9018.700
538.700	9018.760
538.640	9018.810
538.590	9018.850
538.570	9018.900
538.580	9018.990
538.680	9018.970
538.770	9019.010
538.750	9019.080
538.700	9019.120
538.650	9019.150
538.590	9019.150
538.540	9019.150
538.470	9019.160
538.400	9019.180
538.360	9019.250
538.330	9019.310
538.260	9019.370
538.280	9019.420
538.360	9019.420
538.450	9019.390
538.500	9019.390
538.570	9019.390
538.640	9019.390
538.700	9019.380
538.780	9019.380
538.780	9019.440
538.760	9019.510
538.690	9019.610
538.650	9019.670
538.590	9019.720
538.580	9019.780
538.600	9019.850
538.680	9019.880
538.720	9019.820
538.750	9019.750
538.800	9019.640
538.830	9019.590
538.920	9019.500
539.000	9019.510
539.110	9019.540
539.160	9019.570
539.230	9019.630
539.240	9019.740
539.140	9019.790
539.050	9019.840
539.020	9019.920
539.030	9020.010
539.130	9020.040
539.240	9020.040
539.300	9020.010
539.370	9019.950
539.470	9019.890
539.580	9019.830
539.660	9019.810
539.710	9019.820
539.700	9019.860
539.690	9019.900
539.670	9019.970
539.740	9020.050
539.820	9020.050
539.810	9020.120
539.740	9020.160
539.650	9020.150
539.590	9020.150
539.540	9020.160
539.470	9020.180
539.440	9020.250
539.450	9020.310
539.480	9020.350
539.460	9020.440
539.380	9020.450
539.310	9020.450
539.230	9020.390
539.190	9020.320
539.150	9020.260
539.070	9020.230
539.010	9020.230
538.940	9020.250
538.930	9020.320
538.930	9020.370
538.900	9020.470
538.810	9020.520
538.720	9020.520
538.660	9020.520
538.580	9020.520
538.470	9020.530
538.360	9020.540
538.260	9020.530
538.200	9020.520
538.110	9020.550
538.130	9020.680
538.150	9020.760
538.210	9020.830
538.290	9020.870
538.410	9020.880
538.490	9020.890
538.570	9020.900
538.640	9020.890
538.730	9020.890
538.840	9020.890
538.890	9020.880
538.870	9020.980
538.810	9020.970
538.710	9020.990
538.660	9021.050
538.590	9021.140
538.630	9021.220
538.680	9021.300
538.780	9021.330
538.870	9021.370
538.970	9021.390
539.070	9021.380
539.110	9021.400
539.130	9021.470
539.110	9021.510
539.030	9021.540
538.900	9021.530
538.810	9021.530
538.660	9021.490
538.580	9021.470
538.480	9021.410
538.410	9021.390
538.350	9021.470
538.410	9021.520
538.460	9021.570
538.520	9021.610
